Dealer Name,County,Mailing & Business Address,City,count
United Gun Shop,Montgomery,5465 Randolph Rd,Rockville,2212
"Atlantic Guns, Inc.",Montgomery,944 Bonifant St,Silver Spring,1803
"Worth A Shot, Inc.",Anne Arundel,1223 Daves Rd,Edgewater,1552
Schicksales,Charles,10595 Middleport Lane,White Plains,1456
Free State Gun Range,Baltimore County,11500 Crossroads Cir,Middle River,1367
Bass Pro Shops Outdoors,Anne Arundel,7000 Arundel Mills Circle,Hanover,1333
Fred's Outdoors,Charles,2895 Crain Highway,Waldorf,1283
"2 A Sales & Supplies, LLC",Howard,8610 Washington Blvd. #209,Jessup,1189
Army Air Force Exchange Service,Anne Arundel,2799 Rose Street,Ft. Meade,1045
Maryland Small Arms Range,Prince George's,9801 Fallard Ct,Upper Marlboro,1022
"Fox's Firearms, LLC",Howard,9190 Red Branch Rd Suite F,Columbia,1016
The Cop Shop,Baltimore City,803 E. Baltimore Street,Baltimore,994
Continental Arms,Baltimore County,9603 Deereco Road,Timonium,963
The Gun Shop,Baltimore County,1614 Eastern Blvd,Baltimore,903
Tyler Firearms/Arimus Tactical,Baltimore,"4367 Hollins Ferry Rd, suite 2C",Halethorpe,771
Engage Armament LLC,Montgomery,701 E. Gude Dr Suite 101,Rockville,760
Baltimore's Best Pawn,Carroll,2977 Baltimore Boulevard,Finksburg,736
"Gun Connection, LLC",Baltimore County,"11433 Pulaski Hwy., Unit 3",White Marsh,726
"Hafers Gunsmithing, Inc.",Washington,15411 National Pike,Hagerstown,709
Job Smart Inc. DBA Gym Ratz Nutrition,St. Mary's,28943 Three Notch Rd Ste 3,Mechanicsville,662
The Machine Gun Nest,Frederick,7910 Reich's Ford Road,Frederick,638
Rick's Guns and Pawn,Cecil,536 Rowlandsville Road,Conowingo,627
"Duffy's, Inc.",Baltimore County,15433 Falls Road,Sparks,603
Heritage Training and Shooting Center,Frederick,4537 Metropolitan Ct,Frederick,590
Three Guys Guns and Outdoors,Allegany,16901 Cherry Branch Place,Oldtown,589
Top Gun Firearms,Harford,2800 Belair Rd.,Fallston,564
"Clyde's Sport Shop, Inc.",Baltimore County,2307 Hammonds Ferry Road,Lansdowne,541
J. Lowes Guns,Cecil,543 Kirks Mill Ln,North East,510
Gander Mountain,Wicomico,2410 N. Salisbury Blvd.,Salisbury,484
"Jones Securities, LLC",Anne Arundel,8009 Jumpers Hole Rd Ste H,Pasadena,461
Blue Fins Group,Baltimore County,701 Wise Ave,Baltimore,450
Cooter's Classic Firearms,Harford,102 Industry Lane,Forest Hill,447
Hendershot's Sporting Goods,Washington,1982 National Pike,Hagerstown,385
Realco Guns,Prince George's,6108 Marlboro Pike,Forestville,385
Shooters Supply,Worcester,9234 Old Ocean City Rd,Berlin,380
"J&K Associates, Inc.",Harford,2145 Pulaski Highway,Havre De Grace,374
"A&D Pawn Shop, Inc.",Anne Arundel,706 N. Crain Hwy Suite 2,Glen Burnie,347
Cromwell's Firearms,St. Mary's,21591 Harrison St,Great Mills,341
"Horst & McCann, Inc.",Harford,2137 N. Fountain Green Rd,Bel Air,336
Gunrunners,Frederick,47 E. Patrick St. #2,Frederick,332
Skeeters,Washington,2 E. Water St. PO Box 184,Smithsburg,329
"On Target, Inc",Anne Arundel,2618 Annapolis Road,Severn,302
"Lock Stock and Barrel, LLC",Carroll,76 Frederick Street,Taneytown,299
Accurate Pawn & Tackle,Howard,6653 Washington Blvd,Elkridge,290
Molly's Place,Kent,12503B Augustine Herman Hwy,Kennedyville,290
Bollinger Gunsmithing & Sales LLC,Carroll,4485 Piney Creek Rd,Taneytown,277
Larry's Trading Post,Worcester,9927 Stephen Decatur Hwy f7,Ocean City,277
The GunfatherLLC,Caroline,225 Market Street,Denton,270
TK Defense,Montgomery,18 Cessna Court,Gaithersburg,267
South Mountain Arms,Washington,87 S. Main St,Keedysville,261
The Tackle Box,St. Mary's,22035 Three Notch Rd,Lexington Park,252
The Gun Center,Frederick,1713 Rosemont Ave,Frederick,245
Antietam Firearms,Washington,35 W. Baltimore Street,Funkstown,242
A1 Uniform Sales Co,Prince George's,4010 Volta Ave,Brentwood,235
Southern Maryland Pawn Brokers,Charles,2224 Crain Hwy,Waldorf,234
Stateline Gun Exchange,Frederick,115 W. Main Street PO Box 323,Emmitsburg,234
Scott's Gunsmithing Service,Anne Arundel,231 Thelma Ave,Glen Burnie,230
"Gun Shack, Inc.",Carroll,101 S Main St PO Box 73,Mt. Airy,221
Zink Arms,Baltimore,9506 Belair Road,Nottingham,212
Protective Services Academy,Prince George's,6101 Fallard Dr,Upper Marlboro,201
Sang Run Sports Shop,Garrett,113 Henry Clay Dr.,Oakland,195
Bowman Gun Shop,Harford,3322 Cedar Church Rd,Darlington,190
S&J Arms Company,Carroll,7512 Main Street,Sykesville,186
J & S Pawn,Allegany,133 East Main St.,Frostburg,182
Kendall Firearms,Wicomico,5881 Polk Ln,Parsonburg,181
Bob's Sunoco,St. Mary's,20321 Piney Point Rd,Callaway,176
The Bank Gun and Pawn,Harford,323 St. John St,Havre de Grace,176
Pasadena Pawn & Gun,Anne Arundel,3306 Mountain RD,Pasadena,168
Bel Air Gun Range,Harford,2137 N. Fountain Green Rd.,Bel AIr,167
Clear Spring Gun Shop,Washington,14036 National Pike,Clear Spring,162
South Carroll Sporting Goods,Carroll,7737 Woodbine Rd,Woodbine,150
Maryland Police Supply,Baltimore County,7028 Golden Ring Road,Baltimore,132
Buck Guns,Carroll,6930 Sykesville Rd.,Sykesville,131
"Accurate Guns & Ammo, LLC",St. Mary's,28650 Point Lookout Road,Leonardtown,127
Haze Line Guns,Prince George's,11295 Laurel Walk Dr,Laurel,122
Brownstone Trading Company,Carroll,2029 N. Old Bachman Valley Rd,Westminster,118
Wink's Sporting Goods,Somerset,12122 Carol Lane #A,Princess Anne,118
Masada Tactical,Baltimore,1401 Reisterstown Rd,Pikesville,114
The Trading Post,Baltimore,21429 York Rd,Maryland Line,113
"MDQ, USA",Harford,2315 Bel Air Rd,Fallston,108
Eakle Firearms Inc.,Howard,3275 Bethany Lane Suite 200,Ellicott City,103
"ELTS Consulting, LLC",St. Mary's,48372 Sunburst Dr,Lexington Park,99
Kerr Brother's Gun,Allegany,323 Virginia Ave.,Cumberland,99
Hanover Armory,Anne Arundel,1327 Ashton Rd Suite 5,Hanover,96
Shore Sportsman,Talbot,8232 Ocean Gateway,Easton,92
Flat Broke Shooters LLC,St. Mary's,4875 St James Church Rd,Lexington Park,86
NSK Sales Company,Baltimore County,14207 Longnecker Road,Boring,86
Keystone Sporting Goods,Washington,13611 Pennsylvania Ave.,Hagerstown,85
3 R Gun Shop,Washington,13255 Herman Meyers Rd,Hagerstown,83
Chesapeake Guns,Queen Anne's,208 Island Plaza Ct,Stevensville,83
"Arundel Firearms & Pawn, Inc.",Anne Arundel,7427 B & A Blvd,Glen Burnie,80
"Oh My Gunz, LLC",Montgomery,19302 Elderberry Ter,Germantown,80
Retic Arms,Frederick,3035 Basford Road,Frederick,80
Pasadena Arms,Anne Arundel,2441A Mountain Rd,Pasadena,79
Chuck's Firearms,St. Mary's,45589 Legerton Ln,Lexington Park,78
Jack's Gun Works,Harford,321 Earlton Rd B,Havre De Grace,76
Black Anchor Armory,Caroline,211 Market Street,Denton,74
Tri-State Gun & Bow,Washington,8638 Downsville Pike,Williamsport,73
Raymond Willnecker,Harford,1820 Harewood Rd,Edgewood,72
Edwin Bramble,Dorchester,1614 Taylors Island Rd,Woolford,68
Benchtop Gunsmithing,Cecil,41 Naylor Blue Court,Port Despoit,67
Joly Enterprises,Anne Arundel,2914 Mountain Rd,Pasadena,66
Albright's Gun Shop,Talbot,36 Dover St,Easton,64
Lou's Sporting Goods,Prince George's,12227 Marne Lane,Bowie,64
"Defensive & Protective Solutions , LLC",Charles,8989 Hillary Ct.,Laplata,62
Ron's Bay Pro Shop,Calvert,2819 Chesapeake Beach Rd,Dunkirk,60
Shuppie's Gun Shop,Washington,12313 Forrest Hill Road,Clear Spring,60
Shooting Ventures,Frederick,11404 Archer Circle,Monrovia,55
Edward Napoleon Nelson,Talbot,3795 Ocean Gateway PO BOX 95,Trapp,53
Oh Shoot Guns,Queen Anne's,203 Kehm Rd,Queenstown,53
EZ-HQL Firearms Training Center,Baltimore,9660 Belair Road Suite 2000,Notthingham,49
"Bayside Firearms, LLC",Calvert,1955 B Division Lane,Saint Leonard,47
NRM Power Products,Prince George's,16201 Brandywine Rd,Brandywine,47
Accuracy Clinic,Montgomery,PO Box 298,Poolesville,46
Best Pawn Inc.,Prince George's,6609 Riverdale Rd,Riverdale,46
Secure America Corp,Talbot,"9415 B Jet Lane, Unit 16",Easton,46
Target Acquired,Charles,3555 Leonardtown Rd Unit 7,Waldorf,46
Murray's Ordnance Armory,Prince George's,"Baltimore Avenue, Unit 4",Beltsville,44
Legion Rifles/LEIM,St. Mary's,25506 Petal Ct,Mechanicsville,42
"Big Dog's Gun Supplies, LLC",Carroll,3503 Hooper Rd,New Windsor,40
Blue Heron Junction,Somerset,28354 Crisfield Marion Hwy.,Marion Station,40
HNP Gunsmithing,Baltimore County,601 E. Back River Neck RD,Essex,40
JRG Wholesale,Harford,1831 Midsummer Ln,Jarrettsville,40
R&R Guns and Ammo,Frederick,52 Souder Rd,Brunswick,40
Webster Waffen Werks,Wicomico,7815 Parsonsburg Rd,Parsonburg,40
High Caliber Arms,Washington,800 S. Potomac Street,Hagerstown,38
The Arrow & Bullet,Washington,1034 Concord Street,Hagerstown,38
Time Off Charters,Calvert,1745 Forest Glen Dr,Prince Frederick,38
MTB Gunworks,Calvert,625 Stillwater Lane,Prince Frederick,37
GLR Enterprises,St. Mary's,"29920 Three Notch Rd, Unit 64",Charlotte Hall,36
RPG Gunsmith,Worcester,11211 Racetrack Rd,Berlin,36
The Gun Merchant,Dorchester,6854 Eldorado Road,Federalsburg,36
"Gun Monkey's Armory, LLC",Charles,5 Derby Dr,La Plata,34
J and J Guns,Talbot,509 August Street,Easton,34
Bradford's Gun Repair,Dorchester,5609 Thompsontown Road,East New Market,33
Talbot Arms,Talbot,9461 New Rd,McDaniel,33
The Wheaton Armory,Montgomery,10125 Colesville Rd #184,Silver Spring,33
Allen & Marshall Auctioneers & Appraisers,Wicomico,8000 Esham Rd.,Parsonsburg,31
Centreville Gunsmith,Queen Anne's,PO Box 1  213 Hope Road,Centreville,31
Anvil Mountain Firearms,Carroll,4501 Turkeyfoot Rd,Westminster,30
"Calvert Firearms, Inc.",Cecil,1952 Turkey Point Rd,North East,30
On Mission Arms,Harford,600 Philadelphia Rd,Joppa,30
Tans Cycle Parts,Calvert,9032A Chesapeake Ave PO Box  550,North Beach,30
"Fred's Firearm Service, LLC",Kent,21248 Maine Ave,Chestertown,28
Queen Anne's Firearms,Queen Anne's,106 Maple Ave,Sudlersville,27
"Select Fire, Inc",Anne Arundel,115 C Holsum Way,Glen Burnie,27
2nd Generation Firearms,Washington,7735 Fairplay Rd,Boonsboro,26
Ingleside Outdoors,Queen Anne's,3142 Goldsboro Road,Henderson,26
Susquehanna Arms,Cecil,10 Hawthrone Dr,Port Deposit,26
Free State Firearm Services,Cecil,41 Chesters Way,Elkton,25
Tactical Defense Firearms,Prince George's,402 Greenhill Ave,Laurel,25
TRM Traders,Wicomico,1708 South Mill Dr.,Salisbury,25
"How Sweet It Is, Inc",Wicomico,3601 Stockyard Rd,Eden,23
KDF Trading,Anne Arundel,7647 Pleasant Drive,Pasadena,23
Littleton Firearms,Worcester,13105 Ames Road PO. Box 372,Bishopville,23
0.1237,Cecil,1237 Elk Forest Road,Elkton,21
Corsica Sporting Goods,Queen Anne's,108 Bonds Rd.,Centreville,21
Klej Garage Firearms,Worcester,2992 Betheden Church Rd.,Pocomoke,21
"Service Arms, LLC",Carroll,5124 Cherry Tree Ln,Sykesville,21
Suppressed Ballistics,Howard,10620 Riggs Hill Rd,Jessup,21
Free State Militia Firearms,Calvert,4417 Cassell Blvd,Prince Frederick,20
Kronk's Custom Firearms,Carroll,115 E. Baltimore St,Taneytown,19
"MT Universal, LLC",Montgomery,5609/5611 Kraft Dr,Rockville,19
Guns R Us,Worcester,113929 Marina Drive,Berlin,18
Mike's Custom Gun Service,Baltimore,2211 Eastern Ave.,Baltimore,17
Old Mill Firearms,St. Mary's,42237 St Andrews Church Rd,Leonardtown,17
Ace Hardware,Cecil,23 W. Main St PO Box 364,Rising Sun,16
Bill's House of Guns,Garrett,150 Short Run Rd,Kitzmiller,16
Milton J. Nock,Wicomico,9341 Colonial Mill Drive,Delmar,16
Murf's Locked and Loaded Firearms,Talbot,31079 Skipton Cordova Rd,Cordova,16
South Mountain Rod and Gun Club,Washington,23523 Foxville Rd P.O. 144,Smithsburg,16
Miller's Gun Service,St. Mary's,45805 Church Drive,Great Mills,15
Rich's Powder Coating,Frederick,7390 Freestate Dr,Middletown,15
Bryan Dowell,Calvert,"140 Dalrymple Rd, P.O. Box 113",Sunderland,14
"F&H Firearms, LLC (JD Tactical Firearms)",St. Mary's,23258 Jenifer Ct,Leonardtown,14
Historic Restorations,Harford,202 E. Broadway,Bel Air,14
Reliable Auto Sales,Cecil,1663 W. Pulaski Hwy,Elkton,14
Old Line Tactical,Washington,3803 Hogan Ln,Keedysville,13
AM Shooting,Montgomery,13939 Lullaby Rd,Germantown,12
PS Solutions - LineX of Delmarva,Wicomico,200 Alexander Ave.,Salisbury,12
Sullivan Firearms,Anne Arundel,1305 Napa Ct,Severn,12
Barren Creek Arms LLC,Wicomico,24740 Porter Mill Road,Hebron,11
"DeMilt Associates, LLC",Montgomery,7935 Queenair Drive,Gaithersburg,11
"Freestate Services, LLC",Montgomery,311 Creek Valley Ln,Rockville,11
Hollywood Tactical Firearms,St. Mary's,22571 Three Notch Rd,California,11
"Specialty Rescue, Inc.",Carroll,1826 Snydersburg Rd,Westminster,11
TRL Firearms & Gunsmithing,Wicomico,106 East Isabella St.,Salisbury,11
EJB's Gunshop,Prince George's,11404 Cantebury Court,Bowie,10
Mad Firearms,Calvert,624 Burr Oak Court,Prince Frederick,10
Russell's Gun Emporium,Washington,919 Pennsylvania Ave,Hagerstown,10
Wassell Works,Garrett,4021 Westernport Road,Westernport,10
Keiths Gunworks,Charles,10155 Weedon Rd.,Newburg,9
Shooting Adventures,Frederick,4113 Lomar Ter,Mount Airy,9
Thomas Psoras,Baltimore County,608 Baltimore Ave,Towson,9
"Alex Cooper Auctioneers, Inc.",Baltimore County,908 York Rd,Towson,8
Firearms Transfer and Sales,Calvert,495 Grantham Dr,Owings,8
GiGi's Gun Shop,Calvert,1805 Western Shore Blvd,Port Republic,8
Simply Silent,Baltimore,427 Eastern Blvd. Suite A2,Baltimore,8
Sweeney's Hunting Supply,Frederick,13238 Catoctin Furnace Rd,Thurmont,8
W. Frear Innovations,Frederick,3513 Marigold Drive,Monrovia,8
West Carroll Arms,Carroll,955 Murphy Ct,New Windsor,8
Uncommon Arms,Howard,6551 Walnut Grove,Columbia,7
A-1 Pawnbrokers #1,Prince George's,4938 Edgewood Rd,College Park,6
American Gun and Archery Outlet,Carroll,PO Box 3926/5423 Ridge Rd Mt Airy,Frederick,6
Catalyst Syndicate,Frederick,110 Main St,Myersville,6
"Frost Enterprises, LLC",Washington,920 West Washington St Suite 103,Washington,6
"Karpfany, LLC",Charles,2726 Albermarle Place,Waldorf,6
Valhalla Firearms,Anne Arundel,8385 Maryland Rd.,Pasadena,6
Accuracy Unlimited Custom Guns,Anne Arundel,213 Kathy Ct,Severna Park,5
"Atlantic Firearms, LLC",Worcester,10337 Bunting Road,Bishopville,5
"Bay Area Fireams, LLC",Calvert,8909 Chesapeake Ave PO Box 345,North Beach,5
Crane Firearm Repair,Caroline,23801 Bridgetown Rd,Henderson,5
NRL and Associates,Queen Anne's,"245 Log Canoe Circle, Suite I",Stevensville,5
Robert David Erhardt,Carroll,1039 Old Manchester Rd,Westminster,5
Royal Pawn,Washington,11205 John F. Kennedy Dr #104,Hagerstown,5
"The Sportsman, Ltd",Talbot,6184 Ocean Gateway Suite A,Trappe,5
Triple Bravo,Montgomery,1 Old Stage Ct.,Rockville,5
Wilson Brothers,Prince George's,8901 Blackbriar Ct.,Ft. Washington,5
"Budd Engineering & Operations Group, LLC",Montgomery,19906 Stoney Point Way,Germantown,4
Charles W. Kelly Jr.,Dorchester,113 B Brohawn Ave,Cambridge,4
JMAC Firearms,Washington,19920 Alva Ct,Keedysville,4
Maryland Firearm Transfers,Howard,5695 Main St,Elkridge,4
Talon Firearms,Carroll,2126 Emory Rd,Reisterstown,4
White Marsh Arms,Baltimore County,9603 Deereco Rd #500,Lutherville,4
D&L Locksmithin,St. Mary's,48292 Mulberry Ln,Saint Inigoes,3
Hott Trading Company,Harford,701 English Ivy Way,Aberdeen,3
Jonathan Melnick Auctioneers,Baltimore City,912/914 E. 25th Street,Baltimore,3
"Long Shot Guns, LLC",Carroll,4815 Bartholow Rd,Sykesville,3
Mountain Supply,Montgomery,10247 Kensington Pkwy,Kensington,3
Multiparts and Services,Anne Arundel,5647 Belle Grove Rd,Baltimore,3
Patuxent Guns,Calvert,481 Main Street,Prince Frederick,3
Safe Harbor Arms,Dorchester,5419 Peach Tree Dr.,Cambridge,3
Sure Aim Gun Works,Dorchester,5320 Cedar Drive,Cambridge,3
Alpha and Omega Gunsmithing,Cecil,106 Newark Ave,Elkton,2
Bad Wolf Industries,Charles,3055 Old Washington Rd.,Waldorf,2
Bel Air Defense & Protection,Harford,712 Cedarknoll Drive,Bel Air,2
Gutters For Less,Frederick,9615 Liberty Road,Frederick,2
Hellthy Obession Tactical,Queen Anne's,248 Hayden Rd,Centreville,2
John's Gun Repair,Carroll,3000 Merle Court,New Windsor,2
Sheila's Jewelry & Loan,Washington,1044 Viriginia Ave,Hagerstown,2
Sinepuxent Firearms,Worcester,"12627 Sunset Avenue, Unit C-6",Ocean City,2
Creek Point Firearms,Queen Anne's,119 Lawyers Row,Centreville,1
Heather House Imports (H.H.I.),Montgomery,11612 Middlebrook Road,Germantown,1
"J.L.W. Fine Arms, Inc.",St. Mary's,23398 HOLLYWOOD ROADÊ,LEONARDTOWN,1
"KRPFA, LLC",Queen Anne's,"104 Quail Run Dr,",Centreville,1
Martinek Gun Shop,Dorchester,2232 Elliott Island Road,Vienna,1
Mid Maryland Gun Repair,Frederick,11103 Hesson Bridge Road,Frederick,1
Misha & Company,Baltimore,10751 Falls Road Suite 119,Baltimore,1
MMBI,Frederick,11306B Pleasant Walk Rd,Myersville,1
Patriot Family Arms,Baltimore,1918-1C Liberty Rd.,Randallstown,1
Patuxent River Guns,Calvert,10025 Trueman Road,Lusby,1
Precision Gunworks,Charles,11890 Woodbury Road,Nanjemoy,1
Skyler Hebden,Garrett,2 Vista Sq,Oakland,1
