Dealer Name,Mailing & Business Address,City,County,Zip
0.1237,1237 Elk Forest Road,Elkton,Cecil,21921
"2 A Sales & Supplies, LLC",8610 Washington Blvd. #209,Jessup,Howard,20794
2nd Generation Firearms,7735 Fairplay Rd,Boonsboro,Washington,21713
3 R Gun Shop,13255 Herman Meyers Rd,Hagerstown,Washington,21742
A-1 Pawnbrokers #1,4938 Edgewood Rd,College Park,Prince George's,20740
A-1 Pawnbrokers #3,3527 Fort Meade Rd,Laurel,Anne Arundel,20724
"A&D Pawn Shop, Inc.",706 N. Crain Hwy Suite 2,Glen Burnie,Anne Arundel,21061
A1 Uniform Sales Co,4010 Volta Ave,Brentwood,Prince George's,20722
Accuracy Clinic,PO Box 298,Poolesville,Montgomery,20837
Accuracy Unlimited Custom Guns,213 Kathy Ct,Severna Park,Anne Arundel,21146
"Accurate Guns & Ammo, LLC",28650 Point Lookout Road,Leonardtown,St. Mary's,20650
Accurate Pawn & Tackle,6653 Washington Blvd,Elkridge,Howard,21075
Ace Hardware,23 W. Main St PO Box 364,Rising Sun,Cecil,21911
Albright's Gun Shop,36 Dover St,Easton,Talbot,21601
"Alex Cooper Auctioneers, Inc.",908 York Rd,Towson,Baltimore County,21204
Allen & Marshall Auctioneers & Appraisers,8000 Esham Rd.,Parsonsburg,Wicomico,21849
Alpha and Omega Gunsmithing,106 Newark Ave,Elkton,Cecil,21921
AM Shooting,13939 Lullaby Rd,Germantown,Montgomery,20874
American Gun and Archery Outlet,PO Box 3926/5423 Ridge Rd Mt Airy,Frederick,Carroll,21771
Anglers Sport Center,1456 Whitehall Rd,Annapolis,Anne Arundel,21401
"AnnieGetUrGun, Inc",21 Industrial Park Dr Suite 201 E,Waldorf,Charles,20602
Antietam Firearms,35 W. Baltimore Street,Funkstown,Washington,21734
Anvil Mountain Firearms,4501 Turkeyfoot Rd,Westminster,Carroll,21158
Arms International,6501 Yochelson Place,Clinton,Prince George's,20735
Arms of Liberty,852 Mayfair Way,Eldersburg,Carroll,21784
Army Air Force Exchange Service,2799 Rose Street,Ft. Meade,Anne Arundel,20755
"Artillery Lab /DBA: LAB Enterprises, LLC.",43 Boileau Ct.,Middletown,Frederick,21769
"Arundel Firearms & Pawn, Inc.",7427 B & A Blvd,Glen Burnie,Anne Arundel,21061
"Atlantic Firearms, LLC",10337 Bunting Road,Bishopville,Worcester,21813
"Atlantic Guns, Inc.",944 Bonifant St,Silver Spring,Montgomery,20910
"Atlantic Hurricane, INC",820 Stagwell Rd,Queenstown,Queen Anne's,21658
Badgersmith Gunworks,1002 Wakely Circle,Belair,Harford,21014
Bad Wolf Industries,3055 Old Washington Rd.,Waldorf,Charles,20601
Baker's Gun House,927 South Potomac St,Hagerstown,Washington,21740
Baltimore's Best Pawn,2977 Baltimore Boulevard,Finksburg,Carroll,21048
Bass Pro Shops Outdoors,7000 Arundel Mills Circle,Hanover,Anne Arundel,21076
"Bay Area Fireams, LLC",8909 Chesapeake Ave PO Box 345,North Beach,Calvert,20714
"Bayside Firearms, LLC",1955 B Division Lane,Saint Leonard,Calvert,20685
Bel Air Gun Range,2137 N. Fountain Green Rd.,Bel AIr,Harford,21015
Beltsville Sport Center,11174 Baltimore Blvd,Beltsville,Prince George's,20705
Benchtop Gunsmithing,41 Naylor Blue Court,Port Despoit,Cecil,21904
Benelli USA Corporation,901 Eighth St,Pocomoke City,Worcester,21851
Beretta USA Corp,17601 Beretta Dr,Accokeek,Prince George's,20607
Best Pawn Inc.,6609 Riverdale Rd,Riverdale,Prince George's,20737
"Big Dog's Gun Supplies, LLC",3503 Hooper Rd,New Windsor,Carroll,21776
Bill's House of Guns,150 Short Run Rd,Kitzmiller,Garrett,21538
BJ'S Firearms,2737 Hooper's Island Road P.O. Box 9,Fishing Creek,Dorchester,21634
Black Anchor Armory,211 Market Street,Denton,Caroline,21629
Blue Fins Group,701 Wise Ave,Baltimore,Baltimore County,21222
Blue Heron Junction,28354 Crisfield Marion Hwy.,Marion Station,Somerset,21838
Bob's Sunoco,20321 Piney Point Rd,Callaway,St. Mary's,20620
Bollinger Gunsmithing & Sales LLC,4485 Piney Creek Rd,Taneytown,Carroll,21787
Bowman Gun Shop,3322 Cedar Church Rd,Darlington,Harford,21034
Bradford's Gun Repair,5609 Thompsontown Road,East New Market,Dorchester,21631
Brownstone Trading Company,2029 N. Old Bachman Valley Rd,Westminster,Carroll,21157
Bruce Hodgson Macsorley II,1620 Town Point,Cambridge,Dorchester,21613
Bryan Dowell,"140 Dalrymple Rd, P.O. Box 113",Sunderland,Calvert,20689
Buck Guns,6930 Sykesville Rd.,Sykesville,Carroll,21784
CAF Enterprise,812 Brandon Rd,Waldorf,Charles,20602
"Calvert Firearms, Inc.",1952 Turkey Point Rd,North East,Cecil,21901
Catalyst Syndicate,110 Main St,Myersville,Frederick,21773
Catoctin Comp.,8106 Ashford Ct,Frederick,Frederick,21702
CB Arms,3144 Sandy Hook Rd.,Street,Harford,21154
Centreville Gunsmith,PO Box 1  213 Hope Road,Centreville,Queen Anne's,21617
Charles Graham,1059 Wilson Corona Rd,Oakland,Garrett,21550
Charles W. Kelly Jr.,113 B Brohawn Ave,Cambridge,Dorchester,21613
Chesapeake Guns,208 Island Plaza Ct,Stevensville,Queen Anne's,21666
Chesapeake Pawnbrokers,2012 Pulaski Highway,Edgewood,Harford,21040
Chuck's Firearms,45589 Legerton Ln,Lexington Park,St. Mary's,20653
Chuck's Gun Shop,1500 Aviemore Place,Bel Air,Harford,21015
CipherLaw,7801 Cadbury Ave,Potomac,Montgomery,20854
Clark's Sport Shop,3724 S. Hanover Street,Baltimore,Baltimore City,21225
"Clyde's Sport Shop, Inc.",2307 Hammonds Ferry Road,Lansdowne,Baltimore County,21227
"Cobalt Research, LLC",7308 Silent Bird Court,Columbia,Howard,21046
Continental Arms,9603 Deereco Road,Timonium,Baltimore County,21093
Cooter's Classic Firearms,102 Industry Lane,Forest Hill,Harford,21050
Corsica Sporting Goods,108 Bonds Rd.,Centreville,Queen Anne's,21617
Crane Firearm Repair,23801 Bridgetown Rd,Henderson,Caroline,21617
Creek Point Firearms,119 Lawyers Row,Centreville,Queen Anne's,21617
Cromwell's Firearms,21591 Harrison St,Great Mills,St. Mary's,20634
David Carter,23700 Pocahontas Dr.,Gaithersburg,Montgomery,20882
"Defensive & Protective Solutions , LLC",8989 Hillary Ct.,Laplata,Charles,20646
"DeMilt Associates, LLC",7935 Queenair Drive,Gaithersburg,Montgomery,20879
DMB Traders,11259-B Lockwood Drive,Silver Spring,Montgomery,20901
"Duffy's, Inc.",15433 Falls Road,Sparks,Baltimore County,21152
"Dunbar Armored, Inc.",50 Schilling Road,Hunt Valley,Baltimore County,21031
"Eagle Tactical, LLC",4636 Ocean Gateway,Vienna,Dorchester,21869
Eakle Firearms Inc.,3275 Bethany Lane Suite 200,Ellicott City,Howard,21042
"Early Out Enterprises, LLC.",413 Potomac View Pkwy,Frederick,Frederick,21716
Edward Napoleon Nelson,3795 Ocean Gateway PO BOX 95,Trapp,Talbot,21673
Edwards Outdoors. LLC.,7425 B Grove Rd.,Frederick,Frederick,21704
Edwin Bramble,1614 Taylors Island Rd,Woolford,Dorchester,21677
EJB's Gunshop,11404 Cantebury Court,Bowie,Prince George's,20721
"Ellicott Arms, Inc.",4826 Ilchester Road,Ellicott City,Howard,21043
"ELTS Consulting, LLC",48372 Sunburst Dr,Lexington Park,St. Mary's,20653
Engage Armament LLC,701 E. Gude Dr Suite 101,Rockville,Montgomery,20850
EZ-HQL Firearms Training Center,9660 Belair Road Suite 2000,Notthingham,Baltimore,21236
"F&H Firearms, LLC (JD Tactical Firearms)",23258 Jenifer Ct,Leonardtown,St. Mary's,20650
Federal Resrouces Supply Co.,235-G Log Canoe Road,Stevensville,Queen Annes,21037
Firearms Transfer and Sales,495 Grantham Dr,Owings,Calvert,20736
Flat Broke Shooters LLC,4875 St James Church Rd,Lexington Park,St. Mary's,20653
"Fox's Firearms, LLC",9190 Red Branch Rd Suite F,Columbia,Howard,21045
"Fred's Firearm Service, LLC",21248 Maine Ave,Chestertown,Kent,21620
Fred's Outdoors,2895 Crain Highway,Waldorf,Charles,20601
Free State Firearm Services,41 Chesters Way,Elkton,Cecil,21921
Free State Gun Range,11500 Crossroads Cir,Middle River,Baltimore County,21220
Free State Militia Firearms,4417 Cassell Blvd,Prince Frederick,Calvert,
"Freestate Services, LLC",311 Creek Valley Ln,Rockville,Montgomery,20850
"Frost Enterprises, LLC",920 West Washington St Suite 103,Washington,Washington,21740
Fulton Armory,8725 Bollman Place #1,Savage,Howard,20763
"Fur, Fins & Feathers",23501 Marsh Road,Mardela Springs,Wicomico,21837
Gander Mountain,2410 N. Salisbury Blvd.,Salisbury,Wicomico,21801
Ghost Vector Group,1100 Butterworth Court Suite B,Stevensville,Queen Anne's,21666
GiGi's Gun Shop,1805 Western Shore Blvd,Port Republic,Calvert,20676
GLR Enterprises,"29920 Three Notch Rd, Unit 64",Charlotte Hall,St. Mary's,20622
Gostomski's Gunsmith Service,16428 Calla Hill Road NW.,Mt. Savage,Allegany,21545
"Gun Connection, LLC","11433 Pulaski Hwy., Unit 3",White Marsh,Baltimore County,21162
"Gun Monkey's Armory, LLC",5 Derby Dr,La Plata,Charles,20646
"Gun Shack, Inc.",101 S Main St PO Box 73,Mt. Airy,Carroll,21771
Gunny's Transfer,4015 Countryside Lane,White Plains,Charles,20695
Gunrunners,47 E. Patrick St. #2,Frederick,Frederick,21701
Guns R Us,113929 Marina Drive,Berlin,Worcester,21811
Gutters For Less,9615 Liberty Road,Frederick,Frederick,21701
"Hafers Gunsmithing, Inc.",15411 National Pike,Hagerstown,Washington,21740
Hanover Armory,1327 Ashton Rd Suite 5,Hanover,Anne Arundel,21076
Harford Ordnance,637 Box Elder Drive,Edgewood,Harford,21040
Haze Line Guns,11295 Laurel Walk Dr,Laurel,Prince George's,20708
Heather House Imports (H.H.I.),11612 Middlebrook Road,Germantown,Montgomery,20876
Hellthy Obession Tactical,248 Hayden Rd,Centreville,Queen Anne's,21617
Hendershot's Sporting Goods,1982 National Pike,Hagerstown,Washington,21740
Heritage Training and Shooting Center,4537 Metropolitan Ct,Frederick,Frederick,21704
High Caliber Arms,800 S. Potomac Street,Hagerstown,Washington,21740
"Himmel Firearms, LLC.",2017 Dudley Corners Rd.,Crumpton,Queen Anne's,21628
Historic Restorations,202 E. Broadway,Bel Air,Harford,21014
HNP Gunsmithing,601 E. Back River Neck RD,Essex,Baltimore County,21221
Hollywood Tactical Firearms,22571 Three Notch Rd,California,St. Mary's,20619
"Horst & McCann, Inc.",2137 N. Fountain Green Rd,Bel Air,Harford,21015
Hott Trading Company,701 English Ivy Way,Aberdeen,Harford,21001
"How Sweet It Is, Inc",3601 Stockyard Rd,Eden,Wicomico,21822
Ingleside Outdoors,3142 Goldsboro Road,Henderson,Queen Anne's,21640
J & S Pawn,133 East Main St.,Frostburg,Allegany,21532
J and J Guns,509 August Street,Easton,Talbot,21601
J. L. Suite,559 Mayo Road,Edgewater,Anne Arundel,21037
J. Lowes Guns,543 Kirks Mill Ln,North East,Cecil,21901
"J&K Associates, Inc.",2145 Pulaski Highway,Havre De Grace,Harford,21078
Jacob's Arms and Ammo,13003 6th Ave,Cresaptown,Allegany,21502
JMAC Firearms,19920 Alva Ct,Keedysville,Washington,21756
Job Smart Inc. DBA Gym Ratz Nutrition,28943 Three Notch Rd Ste 3,Mechanicsville,St. Mary's,20659
John M Brinkley,8706 Armstrong Lane,Upper Marlboro,Prince George's,20772
John's Gun Repair,3000 Merle Court,New Windsor,Carroll,21776
Joly Enterprises,2914 Mountain Rd,Pasadena,Anne Arundel,21122
Jonathan Melnick Auctioneers,912/914 E. 25th Street,Baltimore,Baltimore City,21218
"Jones Securities, LLC",8009 Jumpers Hole Rd Ste H,Pasadena,Anne Arundel,21122
D&L Locksmithin,48292 Mulberry Ln,Saint Inigoes,St. Mary's,20684
JRG Wholesale,1831 Midsummer Ln,Jarrettsville,Harford,21084
"Karpfany, LLC",2726 Albermarle Place,Waldorf,Charles,20601
"Kavanagh Electric Company, Inc.",3723 Rush Rd.,Jarrettsville,Harford,21084
KDF Trading,7647 Pleasant Drive,Pasadena,Anne Arundel,21122
Keiths Gunworks,10155 Weedon Rd.,Newburg,Charles,20664
Kendall Firearms,5881 Polk Ln,Parsonburg,Wicomico,21849
Kerr Brother's Gun,323 Virginia Ave.,Cumberland,Allegany,21502
Keystone Sporting Goods,13611 Pennsylvania Ave.,Hagerstown,Washington,21742
Kings Mountain,3623 Latham Rd,Baltimore,Baltimore City,21207
Klej Garage Firearms,2992 Betheden Church Rd.,Pocomoke,Worcester,21851
Kronk's Custom Firearms,115 E. Baltimore St,Taneytown,Carroll,21787
"KRPFA, LLC","104 Quail Run Dr,",Centreville,Queen Anne's,21617
Larry's Trading Post,9927 Stephen Decatur Hwy f7,Ocean City,Worcester,20879
Legion Rifles/LEIM,25506 Petal Ct,Mechanicsville,St. Mary's,20659
Littleton Firearms,13105 Ames Road PO. Box 372,Bishopville,Worcester,21813
"Lock Stock and Barrel, LLC",76 Frederick Street,Taneytown,Carroll,21787
"Long Shot Guns, LLC",4815 Bartholow Rd,Sykesville,Carroll,21784
Longfield Farm Gun Store,33265 Perryhawkin Rd,Princess Anne,Somerset,21853
Lou's Sporting Goods,12227 Marne Lane,Bowie,Prince George's,20715
M&O Enterprises,101 South Broadway,Baltimore,Baltimore City,21231
Mad Firearms,624 Burr Oak Court,Prince Frederick,Calvert,20678
Manchester Shooters Supply,10726 Bishop Street PO. Box 262,Bishopville,Worcester,21813
Martinek Gun Shop,2232 Elliott Island Road,Vienna,Dorchester,21869
"Marvel Custom Guns, Inc.",3922 Madonna Road,Jarrettsville,Harford,21084
Maryland Firearm Transfers,5695 Main St,Elkridge,Howard,21075
Maryland Police Supply,7028 Golden Ring Road,Baltimore,Baltimore County,21237
Maryland Small Arms Range,9801 Fallard Ct,Upper Marlboro,Prince George's,20772
Masada Tactical,1401 Reisterstown Rd,Pikesville,Baltimore,21208
Mid Maryland Gun Repair,11103 Hesson Bridge Road,Frederick,Frederick,21701
Mike's Custom Gun Service,2211 Eastern Ave.,Baltimore,Baltimore,21220
Miller's Gun Service,45805 Church Drive,Great Mills,St. Mary's,20634
Miller's Gunworks,18842 Wicomico River Dr/POBox 327,Cobb Island,Charles,20625
Milton J. Nock,9341 Colonial Mill Drive,Delmar,Wicomico,21875
Misha & Company,10751 Falls Road Suite 119,Baltimore,Baltimore,21093
MMBI,11306B Pleasant Walk Rd,Myersville,Frederick,21773
Murray's Ordnance Armory,"Baltimore Avenue, Unit 4",Beltsville,Prince George's,20707
Molly's Place,12503B Augustine Herman Hwy,Kennedyville,Kent,21620
Mountain Supply,10247 Kensington Pkwy,Kensington,Montgomery,20895
"MT Universal, LLC",5609/5611 Kraft Dr,Rockville,Montgomery,20852
MTB Gunworks,625 Stillwater Lane,Prince Frederick,Calvert,20678
MTC Monaco Enterprises,4827 Rugby Avenue Suite 202,Bethesda,Montgomery,20814
MTS Enterprise,806 Maple Avenue,Laurel,Prince George's,20707
Multiparts and Services,5647 Belle Grove Rd,Baltimore,Anne Arundel,21225
Murf's Locked and Loaded Firearms,31079 Skipton Cordova Rd,Cordova,Talbot,21625
Murray's Sporting Center,101 E. Sunset Ave,Williamsport,Washington,21795
NSK Sales Company,14207 Longnecker Road,Boring,Baltimore County,21020
National Weaponcraft Institute,9801 Fallard Ct Suite #300,Upper Marlboro,Prince George's,20772
Nolte Gunsmithing & Reloading,718 Old Baltimore Road,Westminster,Carroll,21157
Northern Firearms,12409 Belair Road,Kingsville,Baltimore County,21087
NRL and Associates,"245 Log Canoe Circle, Suite I",Stevensville,Queen Anne's,21617
NRM Power Products,16201 Brandywine Rd,Brandywine,Prince George's,20613
"Oh My Gunz, LLC",19302 Elderberry Ter,Germantown,Montgomery,20876
Oh Shoot Guns,203 Kehm Rd,Queenstown,Queen Anne's,21658
Old Line Tactical,3803 Hogan Ln,Keedysville,Washington,21756
Old Mill Firearms,42237 St Andrews Church Rd,Leonardtown,St. Mary's,20650
On Mission Arms,600 Philadelphia Rd,Joppa,Harford,21085
"On Target, Inc",2618 Annapolis Road,Severn,Anne Arundel,21144
PS Solutions - LineX of Delmarva,200 Alexander Ave.,Salisbury,Wicomico,21801
Pasadena Arms,2441A Mountain Rd,Pasadena,Anne Arundel,21122
Pasadena Firearms,7849 Belhaven Road,Pasadena,Anne Arundel,21122
Pasadena Pawn & Gun,3306 Mountain RD,Pasadena,Anne Arundel,21122
Patriot Family Arms,1918-1C Liberty Rd.,Randallstown,Baltimore,21133
Patuxent Guns,481 Main Street,Prince Frederick,Calvert,20678
Patuxent River Guns,10025 Trueman Road,Lusby,Calvert,20657
PaPaw's Gun Safe,1300 Hapes Mill Rd,Taneytown,Carroll,21787
"Pimlico Loan Office, Inc.",5127 Park Heights Ave,Baltimore,Baltimore City,21215
Possum Hill Supplies,27741 Possum Hill Road,Federalsburg,Caroline,21632
Precision Gunworks,11890 Woodbury Road,Nanjemoy,Charles,20662
Protective Services Academy,6101 Fallard Dr,Upper Marlboro,Prince George's,20772
Queen Anne's Firearms,106 Maple Ave,Sudlersville,Queen Anne's,21668
R&R Guns and Ammo,52 Souder Rd,Brunswick,Frederick,21716
"R & W Concepts, LLC.",133 Crofton Hill Lane,Rockville,Montgomery,20850
R.I.P. Guns & Accessories,17711 Bluebell Drive,Hagerstown,Washington,21740
R&D Systems,9167 Preference Drive,LaPlata,Charles,20646
Raymond Willnecker,1820 Harewood Rd,Edgewood,Harford,21040
Realco Guns,6108 Marlboro Pike,Forestville,Prince George's,20747
Red Dawn Defense,21117 Marigold St,Leonardtown,St. Mary's,20650
"Reflections Outdoors, LLC",1034 Pysell Crosscut Rd,Oakland,Garrett,21550
Reliable Auto Sales,1663 W. Pulaski Hwy,Elkton,Cecil,21921
Retic Arms,3035 Basford Road,Frederick,Frederick,21703
Rich's Powder Coating,7390 Freestate Dr,Middletown,Frederick,21769
Richard A. Cantilena,9290 Gunston Rd,Welcome,Charles,20693
Rick's Guns and Pawn,536 Rowlandsville Road,Conowingo,Cecil,21918
The Machine Gun Nest,7910 Reich's Ford Road,Frederick,Frederick,21704
Robert David Erhardt,1039 Old Manchester Rd,Westminster,Carroll,21157
Rolf's Sporting Goods,40 Lochleven Drive,Severna Park,Anne Arundel,21146
Ron's Bay Pro Shop,2819 Chesapeake Beach Rd,Dunkirk,Calvert,20754
Royal Pawn,11205 John F. Kennedy Dr #104,Hagerstown,Washington,21742
RPG Gunsmith,11211 Racetrack Rd,Berlin,Worcester,21811
Russell's Gun Emporium,919 Pennsylvania Ave,Hagerstown,Washington,21742
S&J Arms Company,7512 Main Street,Sykesville,Carroll,21784
Safe Harbor Arms,5419 Peach Tree Dr.,Cambridge,Dorchester,21613
Sang Run Sports Shop,113 Henry Clay Dr.,Oakland,Garrett,21550
Schicksales,10595 Middleport Lane,White Plains,Charles,20695
Scott's Gunsmithing Service,231 Thelma Ave,Glen Burnie,Anne Arundel,21061
Secure America Corp,"9415 B Jet Lane, Unit 16",Easton,Talbot,21601
Select Arms,7919 East Shire Dr.,Berlin,Worcester,21811
"Select Fire, Inc",115 C Holsum Way,Glen Burnie,Anne Arundel,21061
"Service Arms, LLC",5124 Cherry Tree Ln,Sykesville,Carroll,21784
Sheila's Jewelry & Loan,1044 Viriginia Ave,Hagerstown,Washington,21740
Shooters Supply,9234 Old Ocean City Rd,Berlin,Worcester,21811
Shooting Adventures,4113 Lomar Ter,Mount Airy,Frederick,21771
Shore Sportsman,8232 Ocean Gateway,Easton,Talbot,21601
Shuppie's Gun Shop,12313 Forrest Hill Road,Clear Spring,Washington,21722
"Sikora Ltd. Gunsmith, Inc.",4361 Beechwood Place,Crisfield,Somerset,21817
Simply Silent,427 Eastern Blvd. Suite A2,Baltimore,Baltimore,21221
Sinepuxent Firearms,"12627 Sunset Avenue, Unit C-6",Ocean City,Worcester,21842
Skeeters,2 E. Water St. PO Box 184,Smithsburg,Washington,21783
Skyler Hebden,2 Vista Sq,Oakland,Garrett,21550
South Carroll Sporting Goods,7737 Woodbine Rd,Woodbine,Carroll,21797
South Mountain Arms,87 S. Main St,Keedysville,Washington,21756
South Mountain Rod and Gun Club,23523 Foxville Rd P.O. 144,Smithsburg,Washington,21783
Southern Maryland Pawn Brokers,2224 Crain Hwy,Waldorf,Charles,20601
Spark's Firearms and Supplies,8420 Newark Rd,Newark,Worcester,21841
Special Response Corporation,14804 York Rd.,Sparks,Baltimore County,21152
"Specialty Rescue, Inc.",1826 Snydersburg Rd,Westminster,Carroll,21157
Stateline Gun Exchange,115 W. Main Street PO Box 323,Emmitsburg,Frederick,21727
Sterling Firearm Repair,3299 Lawsonia Rd.,Crisfield,Somerset,21817
Steuart Harding,7147 Hynson Road PO Box 444,Hurlock,Dorchester,21643
Sullivan Firearms,1305 Napa Ct,Severn,Anne Arundel,21144
Suppressed Ballistics,10620 Riggs Hill Rd,Jessup,Howard,20794
"Suppressedfire, LLC",435 Neepier Rd,Catonsville,Baltimore,21228
Sure Aim Gun Works,5320 Cedar Drive,Cambridge,Dorchester,21613
Susquehanna Arms,10 Hawthrone Dr,Port Deposit,Cecil,21904
Sweeney's Hunting Supply,13238 Catoctin Furnace Rd,Thurmont,Frederick,21788
Tactical Defense Firearms,402 Greenhill Ave,Laurel,Prince George's,20707
Talbot Arms,9461 New Rd,McDaniel,Talbot,21647
Talon Firearms,2126 Emory Rd,Reisterstown,Carroll,21136
Tans Cycle Parts,9032A Chesapeake Ave PO Box  550,North Beach,Calvert,20714
Target Acquired,3555 Leonardtown Rd Unit 7,Waldorf,Charles,20601
The Arrow & Bullet,1034 Concord Street,Hagerstown,Washington,21740
The Bank Gun and Pawn,323 St. John St,Havre de Grace,Harford,21078
"The Burning Spear, LLC",13005 Woodmore North Blvd,Bowie,Prince George's,20720
The Cop Shop,803 E. Baltimore Street,Baltimore,Baltimore City,21202
The Gun Center,1713 Rosemont Ave,Frederick,Frederick,21704
The Gun Merchant,6854 Eldorado Road,Federalsburg,Dorchester,21632
The Gun Shop,1614 Eastern Blvd,Baltimore,Baltimore County,21221
The GunfatherLLC,225 Market Street,Denton,Caroline,21629
"The Sportsman, Ltd",6184 Ocean Gateway Suite A,Trappe,Talbot,21673
The Trading Post,21429 York Rd,Maryland Line,Baltimore,21053
The Wheaton Armory,10125 Colesville Rd #184,Silver Spring,Montgomery,20901
Thomas Psoras,608 Baltimore Ave,Towson,Baltimore County,21204
Three Guys Guns and Outdoors,16901 Cherry Branch Place,Oldtown,Allegany,21555
Time Off Charters,1745 Forest Glen Dr,Prince Frederick,Calvert,20678
TK Defense,18 Cessna Court,Gaithersburg,Montgomery,20879
Tom's Guns,2081 Lowery Oaks Lane,Huntington,Calvert,20639
Top Gun Firearms,2800 Belair Rd.,Fallston,Harford,21047
Tri-State Gun & Bow,8638 Downsville Pike,Williamsport,Washington,21795
Triple Bravo,1 Old Stage Ct.,Rockville,Montgomery,20852
TRL Firearms & Gunsmithing,106 East Isabella St.,Salisbury,Wicomico,21801
TRM Traders,1708 South Mill Dr.,Salisbury,Wicomico,21804
"Tuscarora Enterprises, LLC.",3910 Basford Rd,Frederick,Frederick,21703
Twinny's Tanning & Guns/Twinny's Sun & Guns,617 Mill Lane,Galena,Kent,21635
Tyler Firearms/Arimus Tactical,"4367 Hollins Ferry Rd, suite 2C",Halethorpe,Baltimore,21227
Uncommon Arms,6551 Walnut Grove,Columbia,Howard,21044
"Unique Systems, LLC",42 Loqust St,Westminster,Carroll,21157
United Gun Shop,5465 Randolph Rd,Rockville,Montgomery,20852
Valhalla Firearms,8385 Maryland Rd.,Pasadena,Anne Arundel,21122
Valor Gun Exchange,24 Walnut St.,Middletown,Frederick,21769
W. Frear Innovations,3513 Marigold Drive,Monrovia,Frederick,21770
Wassell Works,4021 Westernport Road,Westernport,Garrett,21562
"Web Enterprises, LLC","554 N Frederick Ave, Suite 217",Gaithersburg,Montgomery,20877
Webster Waffen Werks,7815 Parsonsburg Rd,Parsonburg,Wicomico,21108
West Carroll Arms,955 Murphy Ct,New Windsor,Carroll,21776
White Marsh Arms,9603 Deereco Rd #500,Lutherville,Baltimore County,21093
Wilson Brothers,8901 Blackbriar Ct.,Ft. Washington,Prince George's,20744
Wink's Sporting Goods,12122 Carol Lane #A,Princess Anne,Somerset,21853
Worldwide Sports,109 Eagle Head Dr,Fort Washington,Prince George's,20744
"Worth A Shot, Inc.",1223 Daves Rd,Edgewater,Anne Arundel,21037
Zimmerman's Auction Gallery,2 Canal Street,Hancock,Washington,21750
Zink Arms,9506 Belair Road,Nottingham,Baltimore,21236
The Tackle Box,22035 Three Notch Rd,Lexington Park,St. Mary's,20653
Clear Spring Gun Shop,14036 National Pike,Clear Spring,Washington,21722
"MDQ, USA",2315 Bel Air Rd,Fallston,Harford,21047
Jack's Gun Works,321 Earlton Rd B,Havre De Grace,Harford,21078
Shooting Ventures,11404 Archer Circle,Monrovia,Frederick,21770
Barren Creek Arms LLC,24740 Porter Mill Road,Hebron,Wicomico,21830
"Budd Engineering & Operations Group, LLC",19906 Stoney Point Way ,Germantown,Montgomery,20876
Bel Air Defense & Protection,712 Cedarknoll Drive,Bel Air,Harford,21015
"J.L.W. Fine Arms, Inc.",23398 HOLLYWOOD ROADÊ,LEONARDTOWN,St. Mary's,20650